year,date,name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adj,EUR_adj,GBP_adj,JPY_adj,CNY_adj,"Gross domestic product per capita, current prices (National currency)","Gross domestic product per capita, current prices (U.S. dollars)","Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Unemployment rate (Percent of total labor force)
2003,2003-04-01,Chile,CHL,CLP,1400.0,716.0,1.9553072625698324,-0.27848,-0.34408,-0.37812,-0.10444,0.63535,,,,,,,,"3,298,194.40","4,770.33",61.874,2.811,9.533
2003,2003-04-01,China,CHN,CNY,9.9,8.28,1.1956521739130437,-0.5588,-0.59891,-0.61973,-0.45237,0.0,,,,,,,,"10,612.85","1,282.21",71.231,1.2,4.3
2003,2003-04-01,Czech Republic,CZE,CZK,56.57,28.9,1.9574394463667821,-0.2777,-0.34336,-0.37744,-0.10346,0.63713,,,,,,,,"277,008.66","9,823.29",77.292,0.119,7.77
2003,2003-04-01,Denmark,DNK,DKK,27.75,6.78,4.092920353982301,0.5103,0.373,0.30174,0.87462,2.42317,,,,,,,,"266,880.12","40,512.05",82.742,1.961,5.433
2003,2003-04-01,Egypt,EGY,EGP,8.0,5.92,1.3513513513513513,-0.50135,-0.54668,-0.57021,-0.38106,0.13022,,,,,,,,"6,455.75","1,252.40",17.175,3.412,11.275
2003,2003-04-01,Euro area,EUZ,EUR,2.71,0.9090909090000001,2.9810000002980996,0.1,0.0,-0.05191,0.36534,1.4932,,,,,,,,,,,,
2003,2003-04-01,Hong Kong,HKG,HKD,11.5,7.8,1.4743589743589745,-0.45596,-0.50541,-0.53109,-0.32472,0.2331,,,,,,,,,,,,
2003,2003-04-01,Hungary,HUN,HUF,490.0,224.0,2.1875,-0.1928,-0.26619,-0.30427,0.00191,0.82955,,,,,,,,"1,886,591.50","8,410.77",69.578,4.663,5.901
2003,2003-04-01,Indonesia,IDN,IDR,16100.0,8740.0,1.8421052631578947,-0.32026,-0.38205,-0.41413,-0.15629,0.54067,,,,,,,,"10,176,465.26","1,186.85",40.041,6.792,9.67
2003,2003-04-01,Japan,JPN,JPY,262.0,120.0,2.183333333333333,-0.19434,-0.26758,-0.3056,0.0,0.82606,,,,,,,,"4,105,229.72","35,410.22",95.499,-0.263,5.242
2003,2003-04-01,Malaysia,MYS,MYR,5.04,3.8,1.3263157894736843,-0.51058,-0.55508,-0.57817,-0.39253,0.10928,,,,,,,,"18,013.23","4,740.32",83.913,1.074,3.6
